date,priority,Day,year,month,autoflush,manualflush,intervension,totalflush,failedflush
02-08-2022,high,Tuesday,2022,Aug,32980,254,42,33234,27
27-08-2024,low,Tuesday,2024,Aug,27740,479,67,28219,35
28-10-2022,medium,Friday,2022,Oct,31343,38,14,31381,3
25-02-2024,medium,Sunday,2024,Feb,30171,198,91,30369,30
02-01-2024,medium,Tuesday,2024,Jan,27768,446,44,28214,5
31-07-2023,medium,Monday,2023,Jul,30654,70,13,30724,1
01-09-2022,high,Thursday,2022,Sep,34288,193,4,34481,0
29-04-2022,low,Friday,2022,Apr,36181,362,57,36543,10
24-03-2023,low,Friday,2023,Mar,36615,265,63,36880,23
02-08-2024,low,Friday,2024,Aug,25474,179,13,25653,1
17-01-2023,high,Tuesday,2023,Jan,38910,498,79,39408,21
25-07-2022,high,Monday,2022,Jul,24732,426,5,25158,0
06-11-2023,high,Monday,2023,Nov,22816,395,27,23211,1
25-08-2024,high,Sunday,2024,Aug,23574,247,61,23821,17
11-10-2024,high,Friday,2024,Oct,24897,137,4,25034,0
05-09-2023,low,Tuesday,2023,Sep,36498,299,100,36797,34
19-09-2023,low,Tuesday,2023,Sep,27314,60,12,27374,0
16-04-2024,low,Tuesday,2024,Apr,28091,127,12,28218,0
03-10-2022,low,Monday,2022,Oct,35391,429,6,35820,0
18-01-2024,low,Thursday,2024,Jan,30098,156,16,30254,7
05-04-2024,low,Friday,2024,Apr,28483,213,51,28696,24
10-05-2022,high,Tuesday,2022,May,32263,302,6,32565,0
10-05-2024,medium,Friday,2024,May,28101,156,26,28257,0
10-06-2023,medium,Saturday,2023,Jun,30565,182,22,30747,0
04-08-2024,medium,Sunday,2024,Aug,25792,56,48,25848,10
29-07-2022,medium,Friday,2022,Jul,30648,402,27,31050,0
19-02-2022,high,Saturday,2022,Feb,22748,423,81,23171,27
16-04-2023,low,Sunday,2023,Apr,27884,384,99,28268,0
30-07-2023,low,Sunday,2023,Jul,39026,379,22,39405,0
12-01-2022,low,Wednesday,2022,Jan,39998,336,88,40334,24
05-06-2023,high,Monday,2023,Jun,24250,281,89,24531,2
27-12-2023,medium,Wednesday,2023,Dec,37659,68,3,37727,0
13-06-2023,medium,Tuesday,2023,Jun,20772,61,12,20833,0
21-09-2023,medium,Thursday,2023,Sep,27417,9,0,27426,0
06-03-2023,medium,Monday,2023,Mar,24932,404,94,25336,37
07-11-2022,medium,Monday,2022,Nov,33311,172,14,33483,0
07-06-2022,high,Tuesday,2022,Jun,35569,242,12,35811,0
24-08-2022,medium,Wednesday,2022,Aug,39587,10,0,39597,0
06-05-2023,high,Saturday,2023,May,37148,31,0,37179,0
01-02-2022,medium,Tuesday,2022,Feb,31190,167,76,31357,10
18-06-2024,medium,Tuesday,2024,Jun,32994,145,84,33139,24
29-09-2024,medium,Sunday,2024,Sep,27543,19,0,27562,0
06-09-2024,medium,Friday,2024,Sep,28649,441,61,29090,1
04-11-2022,medium,Friday,2022,Nov,22950,443,47,23393,17
30-08-2024,medium,Friday,2024,Aug,24859,362,2,25221,0
17-04-2023,high,Monday,2023,Apr,22004,122,24,22126,12
19-04-2022,high,Tuesday,2022,Apr,24858,23,0,24881,0
05-03-2024,high,Tuesday,2024,Mar,29116,207,70,29323,10
21-12-2022,low,Wednesday,2022,Dec,29033,9,0,29042,0
29-01-2024,low,Monday,2024,Jan,31038,27,0,31065,0
16-12-2023,low,Saturday,2023,Dec,23664,178,33,23842,0
24-10-2023,low,Tuesday,2023,Oct,32590,409,13,32999,2
22-07-2024,low,Monday,2024,Jul,39635,12,0,39647,0
23-07-2024,high,Tuesday,2024,Jul,21171,426,57,21597,10
15-07-2022,high,Friday,2022,Jul,26629,270,11,26899,0
15-05-2023,high,Monday,2023,May,23296,226,99,23522,24
02-02-2024,high,Friday,2024,Feb,23355,100,91,23455,19
25-04-2023,high,Tuesday,2023,Apr,39805,337,61,40142,0
09-02-2022,low,Wednesday,2022,Feb,21439,187,0,21626,0
05-02-2022,low,Saturday,2022,Feb,36742,373,35,37115,4
08-07-2022,low,Friday,2022,Jul,32912,533,92,33445,9
19-07-2024,low,Friday,2024,Jul,38009,360,38,38369,0
08-06-2022,low,Wednesday,2022,Jun,30716,178,43,30894,7
08-01-2023,low,Sunday,2023,Jan,20355,300,27,20655,0
08-06-2023,low,Thursday,2023,Jun,22408,162,14,22570,0
31-03-2022,low,Thursday,2022,Mar,22768,395,8,23163,0
17-07-2024,low,Wednesday,2024,Jul,24168,443,17,24611,7
10-12-2023,low,Sunday,2023,Dec,31406,155,9,31561,0
23-06-2024,high,Sunday,2024,Jun,34220,495,20,34715,0
14-10-2022,high,Friday,2022,Oct,22123,250,87,22373,1
28-02-2024,high,Wednesday,2024,Feb,26741,274,48,27015,5
08-11-2023,high,Wednesday,2023,Nov,34557,369,20,34926,0
27-01-2023,high,Friday,2023,Jan,37782,194,1,37976,0
22-08-2023,medium,Tuesday,2023,Aug,28998,240,95,29238,6
17-03-2024,medium,Sunday,2024,Mar,39722,41,0,39763,0
27-08-2023,high,Sunday,2023,Aug,32578,474,16,33052,3
18-06-2022,high,Saturday,2022,Jun,35789,38,0,35827,0
17-10-2022,high,Monday,2022,Oct,38781,384,72,39165,6
10-10-2024,high,Thursday,2024,Oct,39397,30,0,39427,0
29-10-2022,high,Saturday,2022,Oct,30140,397,20,30537,0
26-06-2022,medium,Sunday,2022,Jun,39123,193,67,39316,0
14-01-2024,medium,Sunday,2024,Jan,22534,294,7,22828,0
01-04-2023,medium,Saturday,2023,Apr,24431,521,94,24952,36
12-06-2023,medium,Monday,2023,Jun,29487,44,0,29531,0
06-09-2022,high,Tuesday,2022,Sep,32199,160,39,32359,2
09-09-2022,high,Friday,2022,Sep,34992,446,52,35438,0
05-08-2023,high,Saturday,2023,Aug,29839,179,100,30018,22
21-08-2023,high,Monday,2023,Aug,22432,249,40,22681,0
08-02-2022,medium,Tuesday,2022,Feb,23121,31,0,23152,0
23-03-2022,high,Wednesday,2022,Mar,37009,489,23,37498,0
25-05-2022,high,Wednesday,2022,May,37874,319,9,38193,0
30-12-2023,high,Saturday,2023,Dec,38524,474,89,38998,4
28-02-2023,high,Tuesday,2023,Feb,24614,202,36,24816,0
02-02-2022,low,Wednesday,2022,Feb,22529,456,99,22985,14
04-07-2024,low,Thursday,2024,Jul,35860,298,3,36158,0
30-08-2022,low,Tuesday,2022,Aug,25021,425,80,25446,13
18-07-2023,low,Tuesday,2023,Jul,34592,544,68,35136,0
09-08-2022,low,Tuesday,2022,Aug,36192,111,12,36303,0
18-09-2023,low,Monday,2023,Sep,35222,231,56,35453,0
20-02-2022,low,Sunday,2022,Feb,25506,493,82,25999,0
11-02-2024,high,Sunday,2024,Feb,17077,242,121,17319,26
10-09-2022,high,Saturday,2022,Sep,19209,274,137,19483,34
17-12-2022,low,Saturday,2022,Dec,17420,245,142,17665,38
06-04-2024,low,Saturday,2024,Apr,16292,207,128,16499,20
06-04-2023,low,Thursday,2023,Apr,15902,248,144,16150,10
17-08-2022,low,Wednesday,2022,Aug,19170,276,141,19446,39
23-01-2022,low,Sunday,2022,Jan,19724,215,132,19939,26
24-05-2022,high,Tuesday,2022,May,14623,251,140,14874,27
10-10-2024,high,Thursday,2024,Oct,18721,267,135,18988,18
08-10-2024,high,Tuesday,2024,Oct,18297,266,131,18563,31
30-11-2022,high,Wednesday,2022,Nov,10422,255,121,10677,18
08-10-2024,high,Tuesday,2024,Oct,11166,239,142,11405,16
20-05-2023,low,Saturday,2023,May,16874,237,140,17111,19
04-02-2022,low,Friday,2022,Feb,13883,200,144,14083,13
10-08-2022,low,Wednesday,2022,Aug,17403,245,140,17648,14
23-08-2024,low,Friday,2024,Aug,18696,233,127,18929,32
17-12-2023,low,Sunday,2023,Dec,18646,257,135,18903,33
04-01-2024,low,Thursday,2024,Jan,17826,292,150,18118,30
05-08-2023,low,Saturday,2023,Aug,14310,287,139,14597,19
20-07-2024,low,Saturday,2024,Jul,14019,200,146,14219,31
14-11-2023,low,Tuesday,2023,Nov,12784,293,138,13077,19
24-09-2022,low,Saturday,2022,Sep,14565,201,120,14766,34
24-11-2022,high,Thursday,2022,Nov,14733,251,123,14984,17
02-02-2023,high,Thursday,2023,Feb,13415,261,141,13676,12
30-01-2022,high,Sunday,2022,Jan,19387,227,127,19614,15
27-05-2023,high,Saturday,2023,May,16904,274,147,17178,35
20-07-2024,high,Saturday,2024,Jul,16553,283,127,16836,15
26-03-2023,medium,Sunday,2023,Mar,19947,237,124,20184,34
30-09-2023,medium,Saturday,2023,Sep,11723,227,126,11950,34
18-08-2022,high,Thursday,2022,Aug,11218,263,130,11481,32
22-05-2023,high,Monday,2023,May,15107,220,143,15327,10
10-03-2024,high,Sunday,2024,Mar,19537,235,130,19772,28
22-10-2023,high,Sunday,2023,Oct,11798,206,148,12004,11
07-01-2023,high,Saturday,2023,Jan,18554,287,134,18841,10
05-03-2024,medium,Tuesday,2024,Mar,11591,297,146,11888,10
02-09-2023,medium,Saturday,2023,Sep,16339,231,150,16570,24
30-03-2023,medium,Thursday,2023,Mar,19352,242,129,19594,20
07-06-2024,medium,Friday,2024,Jun,10853,286,147,11139,17
18-01-2024,high,Thursday,2024,Jan,16843,204,132,17047,14
08-09-2023,high,Friday,2023,Sep,17938,282,134,18220,12
23-10-2023,high,Monday,2023,Oct,12252,279,137,12531,17
30-11-2022,high,Wednesday,2022,Nov,13543,285,123,13828,37
30-07-2023,medium,Sunday,2023,Jul,18398,231,141,18629,19
08-06-2024,high,Saturday,2024,Jun,12014,256,132,12270,36
19-08-2024,high,Monday,2024,Aug,16953,261,135,17214,38
11-01-2023,high,Wednesday,2023,Jan,16587,230,134,16817,19
08-11-2022,high,Tuesday,2022,Nov,16078,285,149,16363,31
12-12-2022,low,Monday,2022,Dec,14596,262,150,14858,35
16-04-2024,low,Tuesday,2024,Apr,14336,222,137,14558,31
19-08-2022,low,Friday,2022,Aug,18651,287,132,18938,23
12-02-2023,low,Sunday,2023,Feb,15612,221,121,15833,22
25-01-2024,low,Thursday,2024,Jan,14463,241,139,14704,27
07-01-2023,low,Saturday,2023,Jan,17347,206,120,17553,10
20-10-2022,low,Thursday,2022,Oct,18100,285,123,18385,24
06-08-2023,high,Sunday,2023,Aug,10123,294,144,10417,11
11-03-2023,high,Saturday,2023,Mar,17809,242,130,18051,22
01-02-2023,low,Wednesday,2023,Feb,16509,238,123,16747,17
06-05-2022,low,Friday,2022,May,11953,226,125,12179,37
31-03-2023,low,Friday,2023,Mar,15000,274,142,15274,40
02-03-2023,low,Thursday,2023,Mar,16098,235,124,16333,20
06-09-2024,low,Friday,2024,Sep,14746,290,149,15036,36
14-02-2024,high,Wednesday,2024,Feb,14655,259,136,14914,17
22-01-2022,high,Saturday,2022,Jan,17952,266,150,18218,23
23-11-2023,high,Thursday,2023,Nov,17113,239,133,17352,33
03-08-2024,high,Saturday,2024,Aug,18456,284,122,18740,38
16-08-2024,high,Friday,2024,Aug,12719,228,149,12947,34
11-10-2022,low,Tuesday,2022,Oct,19348,261,127,19609,18
